Data,hora,ação,gpio
21/12/2022, 02:41,Alarme da janela,Sirene do Alarme,Sirene do Alarme
21/12/2022, 02:41,Alarme da janela,Sirene do Alarme,Sirene do Alarme
21/12/2022, 02:41,Alarme da janela,Sirene do Alarme,Sirene do Alarme
21/12/2022, 02:47,INCENDIO,-1,-1
21/12/2022, 02:47,INCENDIO,-1,-1
21/12/2022, 02:47,INCENDIO,-1,-1
21/12/2022, 02:47,INCENDIO,-1,-1
21/12/2022, 02:47,INCENDIO,-1,-1
21/12/2022, 02:47,INCENDIO,-1,-1
21/12/2022, 02:47,INCENDIO,-1,-1
21/12/2022, 02:47,INCENDIO,-1,-1
21/12/2022, 02:47,INCENDIO,-1,-1
21/12/2022, 02:47,INCENDIO,-1,-1
21/12/2022, 02:47,INCENDIO,-1,-1
21/12/2022, 02:47,INCENDIO,-1,-1
21/12/2022, 02:47,INCENDIO,-1,-1
21/12/2022, 02:47,INCENDIO,-1,-1
21/12/2022, 02:47,INCENDIO,-1,-1
21/12/2022, 02:48,Alarme de presenca,Sirene do Alarme,Sirene do Alarme
21/12/2022, 02:48,Alarme de presenca,Sirene do Alarme,Sirene do Alarme
21/12/2022, 02:48,Alarme de presenca,Sirene do Alarme,Sirene do Alarme
21/12/2022, 02:48,Alarme de presenca,Sirene do Alarme,Sirene do Alarme
21/12/2022, 02:48,Alarme de presenca,Sirene do Alarme,Sirene do Alarme
21/12/2022, 02:48,Alarme de presenca,Sirene do Alarme,Sirene do Alarme
21/12/2022, 02:48,Alarme de presenca,Sirene do Alarme,Sirene do Alarme
21/12/2022, 02:48,Alarme de presenca,Sirene do Alarme,Sirene do Alarme
21/12/2022, 02:48,Alarme de presenca,Sirene do Alarme,Sirene do Alarme
21/12/2022, 02:48,Alarme de presenca,Sirene do Alarme,Sirene do Alarme
21/12/2022, 02:48,Alarme de presenca,Sirene do Alarme,Sirene do Alarme
21/12/2022, 02:48,Alarme de presenca,Sirene do Alarme,Sirene do Alarme
21/12/2022, 02:48,Alarme de presenca,Sirene do Alarme,Sirene do Alarme
21/12/2022, 02:48,Alarme de presenca,Sirene do Alarme,Sirene do Alarme
21/12/2022, 02:48,Alarme de presenca,Sirene do Alarme,Sirene do Alarme
21/12/2022, 02:48,Alarme de presenca,Sirene do Alarme,Sirene do Alarme
21/12/2022, 02:48,Alarme de presenca,Sirene do Alarme,Sirene do Alarme
21/12/2022, 02:48,Alarme de presenca,Sirene do Alarme,Sirene do Alarme
21/12/2022, 02:48,Alarme de presenca,Sirene do Alarme,Sirene do Alarme
21/12/2022, 02:48,Alarme de presenca,Sirene do Alarme,Sirene do Alarme
21/12/2022, 02:48,Alarme de presenca,Sirene do Alarme,Sirene do Alarme
21/12/2022, 02:48,Alarme de presenca,Sirene do Alarme,Sirene do Alarme
21/12/2022, 02:48,Alarme de presenca,Sirene do Alarme,Sirene do Alarme
21/12/2022, 02:48,Alarme de presenca,Sirene do Alarme,Sirene do Alarme
21/12/2022, 02:48,Alarme de presenca,Sirene do Alarme,Sirene do Alarme
21/12/2022, 02:48,Alarme de presenca,Sirene do Alarme,Sirene do Alarme
21/12/2022, 02:48,Alarme de presenca,Sirene do Alarme,Sirene do Alarme
21/12/2022, 02:48,Alarme de presenca,Sirene do Alarme,Sirene do Alarme
21/12/2022, 02:48,Alarme de presenca,Sirene do Alarme,Sirene do Alarme
21/12/2022, 02:48,Alarme de presenca,Sirene do Alarme,Sirene do Alarme
21/12/2022, 02:48,Alarme de presenca,Sirene do Alarme,Sirene do Alarme
21/12/2022, 02:48,Alarme de presenca,Sirene do Alarme,Sirene do Alarme
21/12/2022, 02:48,Alarme da janela,Sirene do Alarme,Sirene do Alarme
21/12/2022, 02:48,Alarme da janela,Sirene do Alarme,Sirene do Alarme
21/12/2022, 02:48,Alarme da janela,Sirene do Alarme,Sirene do Alarme
21/12/2022, 02:48,Alarme da janela,Sirene do Alarme,Sirene do Alarme
21/12/2022, 02:48,Alarme da janela,Sirene do Alarme,Sirene do Alarme
21/12/2022, 02:48,Alarme da janela,Sirene do Alarme,Sirene do Alarme
21/12/2022, 02:48,Alarme da janela,Sirene do Alarme,Sirene do Alarme
21/12/2022, 02:48,Alarme da janela,Sirene do Alarme,Sirene do Alarme
21/12/2022, 02:48,Alarme da janela,Sirene do Alarme,Sirene do Alarme
21/12/2022, 02:48,Alarme da janela,Sirene do Alarme,Sirene do Alarme
21/12/2022, 02:48,Alarme da janela,Sirene do Alarme,Sirene do Alarme
21/12/2022, 02:48,INCENDIO,-1,-1
21/12/2022, 02:48,INCENDIO,-1,-1
21/12/2022, 02:48,INCENDIO,-1,-1
21/12/2022, 02:48,INCENDIO,-1,-1
21/12/2022, 02:48,INCENDIO,-1,-1
21/12/2022, 02:48,INCENDIO,-1,-1
21/12/2022, 02:48,INCENDIO,-1,-1
21/12/2022, 02:48,INCENDIO,-1,-1
21/12/2022, 02:48,INCENDIO,-1,-1
21/12/2022, 02:48,INCENDIO,-1,-1
21/12/2022, 02:49,INCENDIO,-1,-1
21/12/2022, 02:49,INCENDIO,-1,-1
21/12/2022, 02:49,INCENDIO,-1,-1
21/12/2022, 02:49,INCENDIO,-1,-1
21/12/2022, 02:50,INCENDIO,-1,-1
21/12/2022, 02:50,INCENDIO,-1,-1
21/12/2022, 02:50,INCENDIO,-1,-1
21/12/2022, 02:50,INCENDIO,-1,-1
21/12/2022, 02:50,INCENDIO,-1,-1
21/12/2022, 02:50,INCENDIO,-1,-1
21/12/2022, 02:51,INCENDIO,-1,-1
21/12/2022, 02:51,INCENDIO,-1,-1
21/12/2022, 02:51,INCENDIO,-1,-1
21/12/2022, 02:51,INCENDIO,-1,-1
21/12/2022, 02:51,INCENDIO,-1,-1
21/12/2022, 02:51,Alarme de presenca,Sirene do Alarme,Sirene do Alarme
21/12/2022, 02:51,Alarme de presenca,Sirene do Alarme,Sirene do Alarme
21/12/2022, 02:51,Alarme de presenca,Sirene do Alarme,Sirene do Alarme
21/12/2022, 02:51,Alarme de presenca,Sirene do Alarme,Sirene do Alarme
21/12/2022, 02:51,Alarme de presenca,Sirene do Alarme,Sirene do Alarme
21/12/2022, 02:51,Alarme de presenca,Sirene do Alarme,Sirene do Alarme
21/12/2022, 02:51,Alarme de presenca,Sirene do Alarme,Sirene do Alarme
21/12/2022, 02:51,Alarme de presenca,Sirene do Alarme,Sirene do Alarme
21/12/2022, 02:51,Alarme de presenca,Sirene do Alarme,Sirene do Alarme
21/12/2022, 02:51,Alarme de presenca,Sirene do Alarme,Sirene do Alarme
21/12/2022, 02:51,Alarme de presenca,Sirene do Alarme,Sirene do Alarme
21/12/2022, 02:51,Alarme de presenca,Sirene do Alarme,Sirene do Alarme
21/12/2022, 02:51,Alarme de presenca,Sirene do Alarme,Sirene do Alarme
21/12/2022, 02:51,Alarme de presenca,Sirene do Alarme,Sirene do Alarme
21/12/2022, 02:51,Alarme da janela,Sirene do Alarme,Sirene do Alarme
21/12/2022, 02:51,Alarme de presenca,Sirene do Alarme,Sirene do Alarme
21/12/2022, 02:51,Alarme da janela,Sirene do Alarme,Sirene do Alarme
21/12/2022, 02:51,Alarme de presenca,Sirene do Alarme,Sirene do Alarme
21/12/2022, 02:51,Alarme da janela,Sirene do Alarme,Sirene do Alarme
21/12/2022, 02:51,Alarme de presenca,Sirene do Alarme,Sirene do Alarme
21/12/2022, 11:14,INCENDIO,-1,-1
21/12/2022, 11:14,INCENDIO,-1,-1
21/12/2022, 11:14,INCENDIO,-1,-1
21/12/2022, 11:14,INCENDIO,-1,-1
21/12/2022, 11:14,INCENDIO,-1,-1
21/12/2022, 11:14,INCENDIO,-1,-1
21/12/2022, 11:14,INCENDIO,-1,-1
21/12/2022, 11:14,INCENDIO,-1,-1
21/12/2022, 11:14,INCENDIO,-1,-1
21/12/2022, 11:14,INCENDIO,-1,-1
21/12/2022, 11:14,INCENDIO,-1,-1
21/12/2022, 11:15,Alarme da janela,Sirene do Alarme,Sirene do Alarme
21/12/2022, 11:15,Alarme da janela,Sirene do Alarme,Sirene do Alarme
21/12/2022, 11:15,Alarme da janela,Sirene do Alarme,Sirene do Alarme
21/12/2022, 11:15,Alarme da janela,Sirene do Alarme,Sirene do Alarme
21/12/2022, 11:15,Alarme da janela,Sirene do Alarme,Sirene do Alarme
21/12/2022, 11:15,Alarme da janela,Sirene do Alarme,Sirene do Alarme
21/12/2022, 11:15,Alarme da janela,Sirene do Alarme,Sirene do Alarme
21/12/2022, 11:15,Alarme da janela,Sirene do Alarme,Sirene do Alarme
21/12/2022, 11:15,Alarme da janela,Sirene do Alarme,Sirene do Alarme
21/12/2022, 11:15,Alarme da janela,Sirene do Alarme,Sirene do Alarme
21/12/2022, 11:15,Alarme da janela,Sirene do Alarme,Sirene do Alarme
21/12/2022, 11:15,Alarme da janela,Sirene do Alarme,Sirene do Alarme
21/12/2022, 11:15,Alarme da janela,Sirene do Alarme,Sirene do Alarme
21/12/2022, 11:17,Alarme da janela,Sirene do Alarme,Sirene do Alarme
21/12/2022, 11:17,Alarme da janela,Sirene do Alarme,Sirene do Alarme
21/12/2022, 11:17,Alarme da janela,Sirene do Alarme,Sirene do Alarme
21/12/2022, 11:17,Alarme da janela,Sirene do Alarme,Sirene do Alarme
21/12/2022, 11:17,Alarme da janela,Sirene do Alarme,Sirene do Alarme
21/12/2022, 11:17,Alarme da janela,Sirene do Alarme,Sirene do Alarme
21/12/2022, 11:17,Alarme da janela,Sirene do Alarme,Sirene do Alarme
21/12/2022, 11:17,Alarme da janela,Sirene do Alarme,Sirene do Alarme
21/12/2022, 11:17,Alarme da janela,Sirene do Alarme,Sirene do Alarme
21/12/2022, 11:17,Alarme da janela,Sirene do Alarme,Sirene do Alarme
21/12/2022, 11:17,Alarme da janela,Sirene do Alarme,Sirene do Alarme
21/12/2022, 11:17,Alarme da janela,Sirene do Alarme,Sirene do Alarme
21/12/2022, 11:17,Alarme da janela,Sirene do Alarme,Sirene do Alarme
21/12/2022, 11:17,Alarme da janela,Sirene do Alarme,Sirene do Alarme
21/12/2022, 11:17,Alarme da janela,Sirene do Alarme,Sirene do Alarme
21/12/2022, 11:17,Alarme da janela,Sirene do Alarme,Sirene do Alarme
21/12/2022, 11:17,Alarme da janela,Sirene do Alarme,Sirene do Alarme
21/12/2022, 11:17,Alarme da janela,Sirene do Alarme,Sirene do Alarme
21/12/2022, 11:18,INCENDIO,-1,-1
21/12/2022, 11:18,INCENDIO,-1,-1
21/12/2022, 11:18,INCENDIO,-1,-1
21/12/2022, 11:18,INCENDIO,-1,-1
21/12/2022, 11:18,INCENDIO,-1,-1
21/12/2022, 11:18,INCENDIO,-1,-1
21/12/2022, 11:18,INCENDIO,-1,-1
21/12/2022, 11:18,INCENDIO,-1,-1
21/12/2022, 11:18,INCENDIO,-1,-1
21/12/2022, 11:18,INCENDIO,-1,-1
21/12/2022, 11:18,INCENDIO,-1,-1
21/12/2022, 11:18,INCENDIO,-1,-1
21/12/2022, 11:18,INCENDIO,-1,-1
21/12/2022, 11:18,INCENDIO,-1,-1
21/12/2022, 11:18,INCENDIO,-1,-1
21/12/2022, 11:18,INCENDIO,-1,-1
21/12/2022, 11:18,INCENDIO,-1,-1
21/12/2022, 11:18,INCENDIO,-1,-1
21/12/2022, 11:18,INCENDIO,-1,-1
21/12/2022, 11:18,INCENDIO,-1,-1
21/12/2022, 11:18,INCENDIO,-1,-1
21/12/2022, 11:18,INCENDIO,-1,-1
21/12/2022, 11:18,INCENDIO,-1,-1
21/12/2022, 11:18,INCENDIO,-1,-1
21/12/2022, 11:18,INCENDIO,-1,-1
21/12/2022, 11:18,INCENDIO,-1,-1
21/12/2022, 11:18,INCENDIO,-1,-1
21/12/2022, 11:18,INCENDIO,-1,-1
21/12/2022, 11:18,INCENDIO,-1,-1
21/12/2022, 11:18,INCENDIO,-1,-1
21/12/2022, 11:18,INCENDIO,-1,-1
21/12/2022, 11:18,INCENDIO,-1,-1
21/12/2022, 11:18,INCENDIO,-1,-1
21/12/2022, 11:18,INCENDIO,-1,-1
21/12/2022, 11:18,INCENDIO,-1,-1
21/12/2022, 11:18,INCENDIO,-1,-1
21/12/2022, 11:18,INCENDIO,-1,-1
21/12/2022, 11:18,INCENDIO,-1,-1
21/12/2022, 11:18,INCENDIO,-1,-1
21/12/2022, 11:18,INCENDIO,-1,-1
21/12/2022, 11:18,INCENDIO,-1,-1
21/12/2022, 11:18,INCENDIO,-1,-1
21/12/2022, 11:18,INCENDIO,-1,-1
21/12/2022, 11:18,INCENDIO,-1,-1
21/12/2022, 11:18,INCENDIO,-1,-1
21/12/2022, 11:18,INCENDIO,-1,-1
21/12/2022, 11:18,INCENDIO,-1,-1
21/12/2022, 11:18,INCENDIO,-1,-1
21/12/2022, 11:18,INCENDIO,-1,-1
21/12/2022, 11:18,INCENDIO,-1,-1
21/12/2022, 11:18,INCENDIO,-1,-1
21/12/2022, 11:18,INCENDIO,-1,-1
21/12/2022, 11:18,INCENDIO,-1,-1
21/12/2022, 11:18,INCENDIO,-1,-1
21/12/2022, 11:18,INCENDIO,-1,-1
21/12/2022, 11:18,INCENDIO,-1,-1
21/12/2022, 11:18,INCENDIO,-1,-1
21/12/2022, 11:18,INCENDIO,-1,-1
21/12/2022, 11:18,INCENDIO,-1,-1
21/12/2022, 11:18,INCENDIO,-1,-1
21/12/2022, 11:18,INCENDIO,-1,-1
21/12/2022, 11:18,INCENDIO,-1,-1
21/12/2022, 11:18,INCENDIO,-1,-1
21/12/2022, 11:18,INCENDIO,-1,-1
21/12/2022, 11:18,INCENDIO,-1,-1
21/12/2022, 11:18,INCENDIO,-1,-1
21/12/2022, 11:18,INCENDIO,-1,-1
21/12/2022, 11:18,INCENDIO,-1,-1
21/12/2022, 11:18,INCENDIO,-1,-1
21/12/2022, 11:18,INCENDIO,-1,-1
21/12/2022, 11:18,INCENDIO,-1,-1
21/12/2022, 11:18,INCENDIO,-1,-1
21/12/2022, 11:18,INCENDIO,-1,-1
21/12/2022, 11:18,INCENDIO,-1,-1
21/12/2022, 11:18,INCENDIO,-1,-1
21/12/2022, 11:18,INCENDIO,-1,-1
21/12/2022, 11:18,INCENDIO,-1,-1
21/12/2022, 11:18,INCENDIO,-1,-1
